Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,42.540001,43.075001,42.314999,43.064999,41.135754,102223600
1/3/2018,43.1325,43.637501,42.990002,43.057499,41.128586,118071600
1/4/2018,43.134998,43.3675,43.02,43.2575,41.319633,89738400
1/5/2018,43.360001,43.842499,43.262501,43.75,41.79007,94640000
1/8/2018,43.587502,43.9025,43.482498,43.587502,41.63485,82271200
1/9/2018,43.637501,43.764999,43.352501,43.5825,41.630077,86336000
1/10/2018,43.290001,43.575001,43.25,43.572498,41.620518,95839600
1/11/2018,43.647499,43.872501,43.622501,43.82,41.85693,74670800
1/12/2018,44.044998,44.34,43.912498,44.272499,42.289162,101672400
1/16/2018,44.474998,44.8475,44.035,44.047501,42.074245,118263600
1/17/2018,44.037498,44.8125,43.767502,44.775002,42.769146,137547200
1/18/2018,44.842499,45.025002,44.5625,44.814999,42.807362,124773600
1/19/2018,44.6525,44.895,44.352501,44.615002,42.616318,129700400
1/22/2018,44.325001,44.445,44.150002,44.25,42.267666,108434400
1/23/2018,44.325001,44.860001,44.205002,44.259998,42.277218,130756400
1/24/2018,44.3125,44.325001,43.299999,43.555,41.603806,204420400
1/25/2018,43.627499,43.737499,42.6325,42.7775,40.86113,166116000
1/26/2018,43,43,42.514999,42.877499,40.95665,156572000
1/29/2018,42.540001,42.540001,41.767502,41.990002,40.108917,202561600
1/30/2018,41.3825,41.842499,41.174999,41.7425,39.872505,184192800
1/31/2018,41.717499,42.110001,41.625,41.857498,39.982349,129915600
2/1/2018,41.7925,42.154999,41.689999,41.945,40.065926,188923200
2/2/2018,41.5,41.700001,40.025002,40.125,38.327465,346375200
2/5/2018,39.775002,40.970001,39,39.122501,37.369873,290954000
2/6/2018,38.7075,40.93,38.5,40.7575,38.931629,272975200
2/7/2018,40.772499,40.849998,39.767502,39.884998,38.098217,206434400
2/8/2018,40.072498,40.25,38.7575,38.787498,37.049889,217562000
2/9/2018,39.267502,39.4725,37.560001,39.102501,37.503044,282690400
2/12/2018,39.625,40.9725,39.377499,40.677502,39.013626,243278000
2/13/2018,40.487499,41.1875,40.412498,41.084999,39.404469,130196800
2/14/2018,40.759998,41.884998,40.720001,41.842499,40.130978,162579600
2/15/2018,42.447498,43.272499,42.25,43.247501,41.4785,204588800
2/16/2018,43.09,43.705002,42.942501,43.107498,41.344227,160704400
2/20/2018,43.012501,43.564999,42.855,42.962502,41.205162,135722000
2/21/2018,43.2075,43.529999,42.752499,42.767502,41.018139,149886400
2/22/2018,42.950001,43.487499,42.927502,43.125,41.361015,123967600
2/23/2018,43.4175,43.912498,43.384998,43.875,42.08033,135249600
2/26/2018,44.087502,44.8475,44.052502,44.7425,42.91235,152648800
2/27/2018,44.775002,45.119999,44.540001,44.5975,42.773285,155712400
2/28/2018,44.814999,45.154999,44.512501,44.529999,42.708546,151128400
3/1/2018,44.634998,44.945,43.165001,43.75,41.960453,195208000
3/2/2018,43.200001,44.075001,43.112499,44.052502,42.250584,153816000
3/5/2018,43.802502,44.435001,43.630001,44.205002,42.396847,113605600
3/6/2018,44.477501,44.5625,44.032501,44.1675,42.36087,95154000
3/7/2018,43.735001,43.962502,43.567501,43.7575,41.967644,126814000
3/8/2018,43.869999,44.279999,43.767502,44.235001,42.425617,95096400
3/9/2018,44.490002,45,44.3475,44.994999,43.154526,128740800
3/12/2018,45.072498,45.5975,45.052502,45.43,43.571728,128828400
3/13/2018,45.647499,45.875,44.810001,44.9925,43.15213,126774000
3/14/2018,45.080002,45.130001,44.452499,44.610001,42.785275,117473600
3/15/2018,44.625,45.060001,44.517502,44.662498,42.835629,90975200
3/16/2018,44.662498,44.779999,44.404999,44.505001,42.684574,157618800
3/19/2018,44.330002,44.3675,43.415001,43.825001,42.032379,133787200
3/20/2018,43.810001,44.200001,43.735001,43.810001,42.018002,78597600
3/21/2018,43.759998,43.772499,42.814999,42.817501,41.06609,148219600
3/22/2018,42.5,43.169998,42.150002,42.212502,40.485836,165963200
3/23/2018,42.0975,42.48,41.235001,41.235001,39.548325,164115200
3/26/2018,42.017502,43.275002,41.610001,43.192501,41.425751,150164800
3/27/2018,43.419998,43.787498,41.73,42.084999,40.363552,163690400
3/28/2018,41.8125,42.505001,41.297501,41.619999,39.917568,166674000
3/29/2018,41.952499,42.9375,41.724998,41.945,40.229286,153594000
4/2/2018,41.66,42.235001,41.1175,41.669998,39.96553,150347200
4/3/2018,41.91,42.1875,41.220001,42.0975,40.375549,121112000
4/4/2018,41.220001,43.002499,41.192501,42.9025,41.14761,138422000
4/5/2018,43.145,43.557499,43.02,43.200001,41.432957,107732800
4/6/2018,42.7425,43.119999,42.049999,42.095001,40.373154,140021200
4/9/2018,42.470001,43.272499,42.462502,42.512501,40.773571,116070800
4/10/2018,43.25,43.5,42.8825,43.3125,41.540848,113634400
4/11/2018,43.057499,43.48,42.924999,43.110001,41.346634,89726400
4/12/2018,43.352501,43.75,43.259998,43.535,41.75425,91557200
4/13/2018,43.695,43.959999,43.462502,43.682499,41.895714,100497200
4/16/2018,43.7575,44.047501,43.7075,43.955002,42.157074,86313600
4/17/2018,44.122501,44.735001,44.102501,44.560001,42.737324,106421600
4/18/2018,44.452499,44.705002,44.220001,44.459999,42.641407,83018000
4/19/2018,43.439999,43.8475,43.165001,43.200001,41.432957,139235200
4/20/2018,42.650002,42.805,41.357498,41.43,39.735352,261964400
4/23/2018,41.7075,41.73,41.022499,41.310001,39.620258,146062000
4/24/2018,41.4175,41.5825,40.305,40.735001,39.068783,134768000
4/25/2018,40.654999,41.355,40.602501,40.912498,39.239021,113528400
4/26/2018,41.029999,41.432499,40.842499,41.055,39.37569,111852000
4/27/2018,41,41.0825,40.157501,40.580002,38.92012,142623200
4/30/2018,40.532501,41.814999,40.459999,41.314999,39.625046,169709600
5/1/2018,41.602501,42.299999,41.317501,42.275002,40.54578,214277600
5/2/2018,43.807499,44.4375,43.450001,44.142502,42.336899,266157600
5/3/2018,43.970001,44.375,43.610001,44.2225,42.413616,136272800
5/4/2018,44.5625,46.0625,44.5425,45.9575,44.077656,224805200
5/7/2018,46.294998,46.9175,46.1875,46.290001,44.396557,169805600
5/8/2018,46.247501,46.555,45.9175,46.512501,44.609959,113611200
5/9/2018,46.637501,46.849998,46.305,46.84,44.924061,92844800
5/10/2018,46.935001,47.592499,46.912498,47.509998,45.566654,111957200
5/11/2018,47.372501,47.514999,46.862499,47.147499,45.393353,104848800
5/14/2018,47.252499,47.3825,46.965,47.037498,45.287445,83115200
5/15/2018,46.695,46.767502,46.275002,46.610001,44.875851,94780800
5/16/2018,46.517502,47.115002,46.5,47.044998,45.294659,76732400
5/17/2018,47,47.227501,46.59,46.747501,45.008232,69176000
5/18/2018,46.797501,46.952499,46.532501,46.577499,44.844559,73190800
5/21/2018,47,47.317501,46.727501,46.907501,45.162277,73603200
5/22/2018,47.095001,47.220001,46.695,46.790001,45.049152,60962800
5/23/2018,46.587502,47.125,46.439999,47.09,45.33799,80233600
5/24/2018,47.192501,47.209999,46.552502,47.037498,45.287445,92936000
5/25/2018,47.057499,47.412498,46.912498,47.145,45.390942,69844000
5/29/2018,46.900002,47.1875,46.717499,46.974998,45.227261,90056400
5/30/2018,46.93,47,46.695,46.875,45.130989,74762000
5/31/2018,46.805,47.057499,46.535,46.717499,44.979343,109931200
6/1/2018,46.997501,47.564999,46.9375,47.560001,45.790504,93770000
6/4/2018,47.91,48.355,47.837502,47.9575,46.173218,105064800
6/5/2018,48.267502,48.485001,48.09,48.327499,46.529449,86264000
6/6/2018,48.407501,48.52,47.98,48.494999,46.690712,83734400
6/7/2018,48.535,48.549999,48.084999,48.365002,46.565548,85388800
6/8/2018,47.7925,48,47.442501,47.924999,46.141914,106627200
6/11/2018,47.837502,47.9925,47.552502,47.807499,46.028782,73234000
6/12/2018,47.8475,48.1525,47.787498,48.07,46.281528,67644400
6/13/2018,48.105,48.220001,47.610001,47.674999,45.90123,86553600
6/14/2018,47.887501,47.892502,47.555,47.700001,45.925289,86440400
6/15/2018,47.5075,47.540001,47.064999,47.209999,45.453522,246876800
6/18/2018,46.970001,47.305,46.799999,47.185001,45.429455,73939600
6/19/2018,46.285,46.5825,45.862499,46.422501,44.69532,134314000
6/20/2018,46.587502,46.799999,46.432499,46.625,44.890285,82514800
6/21/2018,46.8125,47.087502,46.235001,46.365002,44.639961,102847600
6/22/2018,46.529999,46.537498,46.174999,46.23,44.509987,108801600
6/25/2018,45.849998,46.23,45.182499,45.5425,43.848064,126652400
6/26/2018,45.747501,46.6325,45.634998,46.107498,44.39204,98276800
6/27/2018,46.307499,46.82,46.0075,46.040001,44.327049,101141200
6/28/2018,46.025002,46.552502,45.950001,46.375,44.649597,69460800
6/29/2018,46.572498,46.797501,45.727501,46.2775,44.555714,90950800
7/2/2018,45.955002,46.825001,45.855,46.794998,45.053963,70925200
7/3/2018,46.947498,46.987499,45.884998,45.98,44.269279,55819200
7/5/2018,46.314999,46.602501,46.07,46.349998,44.625515,66416800
7/6/2018,46.355,47.107498,46.299999,46.9925,45.244118,69940800
7/9/2018,47.375,47.669998,47.325001,47.645,45.872337,79026400
7/10/2018,47.677502,47.82,47.544998,47.587502,45.816978,63756400
7/11/2018,47.125,47.445,46.9025,46.970001,45.22245,75326000
7/12/2018,47.3825,47.852501,47.327499,47.7575,45.980652,72164400
7/13/2018,47.77,47.959999,47.724998,47.8325,46.052864,50055600
7/16/2018,47.880001,48.162498,47.605,47.727501,45.951763,60172400
7/17/2018,47.4375,47.967499,47.299999,47.862499,46.081741,62138000
7/18/2018,47.945,47.950001,47.482498,47.599998,45.829006,65573600
7/19/2018,47.422501,48.137501,47.422501,47.970001,46.185249,81147200
7/20/2018,47.945,48.107498,47.5425,47.860001,46.079342,82704800
7/23/2018,47.669998,47.990002,47.389999,47.9025,46.120262,63957600
7/24/2018,48.112499,48.415001,48.012501,48.25,46.454823,74791600
7/25/2018,48.264999,48.712502,48.107498,48.705002,46.892902,66839600
7/26/2018,48.6525,48.990002,48.4025,48.552502,46.746075,76304000
7/27/2018,48.747501,48.797501,47.525002,47.744999,45.96862,96096000
7/30/2018,47.974998,48.049999,47.267502,47.477501,45.711067,84118000
7/31/2018,47.575001,48.035,47.334999,47.572498,45.802532,157492000
8/1/2018,49.782501,50.439999,49.327499,50.375,48.500771,271742800
8/2/2018,50.145,52.095001,50.087502,51.8475,49.918484,249616000
8/3/2018,51.7575,52.185001,51.369999,51.997501,50.062901,133789600
8/6/2018,52,52.3125,51.767502,52.267502,50.322857,101701600
8/7/2018,52.330002,52.375,51.689999,51.7775,49.851086,102349600
8/8/2018,51.512501,51.952499,51.130001,51.8125,49.884781,90102000
8/9/2018,52.3825,52.445,51.799999,52.220001,50.277122,93970400
8/10/2018,51.84,52.275002,51.6675,51.8825,50.127361,98444800
8/13/2018,52.327499,52.737499,51.924999,52.217499,50.451035,103563600
